N_itens, Tipo de vetor, Algoritmo, Comparacoes, Comparacoes/N, Operacoes, Operacoes/N, Duração (sec)
1000, ordenado, bubble_sort, 499500, 499.5000, 0, 0.0000, 0.0253
1000, ordenado, selection_sort, 501500, 501.5000, 1000, 1.0000, 0.0236
1000, ordenado, insertion_sort, 499500, 499.5000, 0, 0.0000, 0.0323
1000, ordenado, binary_search_sort, 1002001, 1002.0010, 1000, 1.0000, 0.1246
1000, reverso, bubble_sort, 499500, 499.5000, 1498500, 1498.5000, 0.0737
1000, reverso, selection_sort, 501500, 501.5000, 1000, 1.0000, 0.0256
1000, reverso, insertion_sort, 499500, 499.5000, 2997, 2.9970, 0.0307
1000, reverso, binary_search_sort, 1501501, 1501.5010, 1000, 1.0000, 0.1491
1000, semiordenado, bubble_sort, 499500, 499.5000, 95292, 95.2920, 0.0381
1000, semiordenado, selection_sort, 501500, 501.5000, 1000, 1.0000, 0.0295
1000, semiordenado, insertion_sort, 499500, 499.5000, 2940, 2.9400, 0.0329
1000, semiordenado, binary_search_sort, 62427, 62.4270, 1000, 1.0000, 0.0049
1000, aleatorio, bubble_sort, 499500, 499.5000, 723420, 723.4200, 0.0701
1000, aleatorio, selection_sort, 501500, 501.5000, 1000, 1.0000, 0.0272
1000, aleatorio, insertion_sort, 499500, 499.5000, 2967, 2.9670, 0.0323
1000, aleatorio, binary_search_sort, 29926, 29.9260, 1000, 1.0000, 0.0028
10000, ordenado, bubble_sort, 49995000, 4999.5000, 0, 0.0000, 3.2254
10000, ordenado, selection_sort, 50015000, 5001.5000, 10000, 1.0000, 2.5026
10000, ordenado, insertion_sort, 49995000, 4999.5000, 0, 0.0000, 2.9363
10000, ordenado, binary_search_sort, 100020001, 10002.0001, 10000, 1.0000, 12.8755
10000, reverso, bubble_sort, 49995000, 4999.5000, 149985000, 14998.5000, 7.6144
10000, reverso, selection_sort, 50015000, 5001.5000, 10000, 1.0000, 2.3841
10000, reverso, insertion_sort, 49995000, 4999.5000, 29997, 2.9997, 3.0069
